Title,Company,Experience,Salary,Location,Skills,Link
tfs developer,photon,2-4 yrs,,"kolkata, mumbai, new delhi, hyderabad, pune, chennai, bengaluru","maven, automation, iis, linux, configuration management, javascript, agile, windows",https://www.naukri.com/job-listings-tfs-developer-photon-infotech-p-ltd-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-2-to-4-years-240823500518
dot net core senior software developer,smartek21,5-8 yrs,,"kolkata, mumbai, new delhi, hyderabad, pune, chennai, bengaluru","backend, front end, coding, postgresql, artificial intelligence, agile, data governance, scrum",https://www.naukri.com/job-listings-dot-net-core-senior-software-developer-smartek21-com-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-5-to-8-years-240325504893
l3 support engineer,genpact,4-7 yrs,0-18 lacs pa,"pune, chennai, bengaluru","dot net, production support, l3 application support, sql, production, application, .net, l3",https://www.naukri.com/job-listings-l3-support-engineer-genpact-india-private-limited-pune-chennai-bengaluru-4-to-7-years-190325020586
evlovewar hiring software developer & testers,evlovewarr,0 yrs,1-3 lacs pa,pune,"java developer, manual testing, java, asp dot net, .net, test engineering, java freshers dot net fresher, automation testing",https://www.naukri.com/job-listings-evlovewar-hiring-software-developer-testers-pragmatic-career-solutions-pune-0-to-0-years-090325002705
fullstack developer,smart placement services,0 yrs,4-4.5 lacs pa,hybrid - pune(baner),"c#, css, fullstack development, html, javascript, .net, asp.net, full stack",https://www.naukri.com/job-listings-fullstack-developer-smart-placement-services-pune-0-to-0-years-180325027781
hr - intern,rohan group,,"6,000/month",pune(shivaji nagar),,https://www.naukri.com/job-listings-hr-intern-rohan-group-pune-0-to-1-years-200325013691
executive / senior executive - human resources,photon,5-10 yrs,,"kolkata, mumbai, new delhi, hyderabad, pune, chennai, bengaluru","relationship management, cloud computing, interpersonal skills, networking, data science, coding, social media, hr",https://www.naukri.com/job-listings-executive-senior-executive-human-resources-photon-infotech-p-ltd-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-5-to-10-years-040225514187
sustainabilty engineer,capgemini,4-6 yrs,,pune,"frp, production, design engineering, electricals, manufacturing, bom, mechanical engineering, quality control",https://www.naukri.com/job-listings-sustainabilty-engineer-capgemini-technology-services-india-limited-pune-4-to-6-years-110325920386
paint shop supervisor,job plus consultancy,4-7 yrs,6-7 lacs pa,pune(chakan),"powder coating, paint shop, coating, painting, powder",https://www.naukri.com/job-listings-paint-shop-supervisor-plus-consultancy-pune-4-to-7-years-310325008960
production engineer,r k placements,3-8 yrs,,pune,"cam lathe, production engineering, production, cam, lathe, engineering",https://www.naukri.com/job-listings-production-engineer-r-k-placements-pune-3-to-8-years-100325014569
software engineer ( dot net) - amla commerce,amla commerce,3-6 yrs,,"nagpur, pune, bengaluru","c#, mvc, web api, .net core, linq, oops, .net, entity framework",https://www.naukri.com/job-listings-software-engineer-dot-net-amla-commerce-amla-commerce-nagpur-pune-bengaluru-3-to-6-years-050325017912
web developer iii,mouser electronics,4-8 yrs,,pune,"jquery, xml, web development, javascript, cms, agile, wcf, microsoft",https://www.naukri.com/job-listings-web-developer-iii-mouser-electronics-pune-4-to-8-years-281123502050
dot net fullstack developer,zenith consultants software,5-9 yrs,,"pune, mumbai (all areas)","cloud services, angular, c#, react.js, asp.net, cloud, .net, full stack",https://www.naukri.com/job-listings-dot-net-fullstack-developer-zenith-consultants-software-pune-mumbai-all-areas-5-to-9-years-180325021645
senior software engineer (dot net) - amla commerce,amla commerce,7-9 yrs,,"nagpur, pune, bengaluru","c#, entity framework, .net, web api, mvc, linq, oops",https://www.naukri.com/job-listings-senior-software-engineer-dot-net-amla-commerce-amla-commerce-nagpur-pune-bengaluru-7-to-9-years-050325018514
dot net developer,fortune india 500 it services company,6-11 yrs,,"hybrid - pune, chennai",".net core, angular, c#, entity, web api, .net, azure, sql",https://www.naukri.com/job-listings-dot-net-developer-lancesoft-pune-chennai-6-to-11-years-060325006101
"senior software engineer (dot net, aws)",atlasrtx,4-7 yrs,,pune,"product management, computer science, automation, backend, coding, javascript, flex, customer support",https://www.naukri.com/job-listings-senior-software-engineer-dot-net-aws-atlasrtx-pune-4-to-7-years-030425500257
dot net specialist,nihilent,6-10 yrs,,"kolkata, pune, chennai",".net, wcf, mvc, dot",https://www.naukri.com/job-listings-dot-net-specialist-nihilent-technologies-pvt-ltd-kolkata-pune-chennai-6-to-10-years-210325504145
advanced software engineer,honeywell,4-9 yrs,,pune,".net core, etl, sharepoint, nintex, angularjs, react.js, core, software",https://www.naukri.com/job-listings-advanced-software-engineer-honeywell-pune-4-to-9-years-110325008726
"senior software engineer (dot net, aws)",incontact,4-7 yrs,,pune,"product management, automation, backend, coding, javascript, flex, customer support, unit testing",https://www.naukri.com/job-listings-senior-software-engineer-dot-net-aws-nice-cxone-pune-4-to-7-years-030425502209
"senior specialist software engineer (dot net, aws)",incontact,11-12 yrs,,pune,"product management, computer science, automation, backend, coding, javascript, flex, customer support",https://www.naukri.com/job-listings-senior-specialist-software-engineer-dot-net-aws-nice-cxone-pune-11-to-12-years-040425501509
"senior specialist software engineer (dot net, aws)",incontact,11-15 yrs,,pune,"product management, computer science, automation, backend, coding, javascript, flex, customer support",https://www.naukri.com/job-listings-senior-specialist-software-engineer-dot-net-aws-nice-cxone-pune-11-to-15-years-030425501657
dot net core full stack developers with react,leading client,6-11 yrs,,"pune, chennai, bengaluru","dot net core, web api, entity framework, wcf, full stack development, react, full stack developers, stack",https://www.naukri.com/job-listings-dot-net-core-full-stack-developers-with-react-krazy-mantra-hr-solutions-pvt-ltd-pune-chennai-bengaluru-6-to-11-years-020425919314
senior software developer (dot net),clarion technologies,5-8 yrs,,pune,"jquery, manager quality assurance, coding, javascript, html, scrum, windows, stored procedures",https://www.naukri.com/job-listings-senior-software-developer-dot-net-clarion-technologies-pvt-ltd-pune-5-to-8-years-240325500449
industrial operations engineer - c,capgemini,3-6 yrs,,bengaluru,"method study, time study, motion study, industrial engineering, production engineering, process layout, mechanical engineering, production",https://www.naukri.com/job-listings-industrial-operations-engineer-c-capgemini-technology-services-india-limited-bengaluru-3-to-6-years-250325926460
industrial operations engineer - b,capgemini,3-5 yrs,,bengaluru,"industrial operations engineering, industrial transformation, industrial engineering, maintenance, production engineering, operations, production, engineering",https://www.naukri.com/job-listings-industrial-operations-engineer-b-capgemini-technology-services-india-limited-bengaluru-3-to-5-years-240325902158
production specialist - l2,wipro,4-8 yrs,,hyderabad,"production, production management, manpower handling, production planning, production supervising, project management, autoclave, quality control",https://www.naukri.com/job-listings-production-specialist-l2-wipro-limited-hyderabad-4-to-8-years-260325924062
production specialist - l3,wipro,5-9 yrs,,bengaluru,"production, production management, manpower handling, production planning, production supervising, project management, autoclave, quality control",https://www.naukri.com/job-listings-production-specialist-l3-wipro-limited-bengaluru-5-to-9-years-260325924169
production helper- quality control,bvg india,1-4 yrs,,pune,"manager quality control, quality control, production, control, quality control management, management, quality, quality management",https://www.naukri.com/job-listings-production-helper-quality-control-bvg-india-ltd-pune-1-to-4-years-040325502792
process validation engineer,philips,2-5 yrs,,pune,"product quality, iso 13485, project management, production engineering, shop floor, healthcare, pfmea, continuous improvement",https://www.naukri.com/job-listings-process-validation-engineer-philips-india-limited-pune-2-to-5-years-130225504763
hr recruiter,forge consulting,0-1 yrs,1.25-1.5 lacs pa,hyderabad(nagole),"hr, it recruitment, excel, non it recruitment, hiring, recruiting, applicant tracking systems, interviewing",https://www.naukri.com/job-listings-hr-recruiter-forge-consulting-hyderabad-0-to-1-years-290125912467
employer branding lead,axicorp,4-10 yrs,,bengaluru,"training, health insurance, head business development, talent acquisition, social media, campus recruitment, marketing campaigns, hr",https://www.naukri.com/job-listings-employer-branding-lead-axi-bengaluru-4-to-10-years-270325501283
asp dot net developer,affable web solutions company,1-3 yrs,,gurgaon,"mob, javascript, asp.net, bootstrap, .net, dot, asp, development",https://www.naukri.com/job-listings-asp-dot-net-developer-affable-web-solutions-company-gurgaon-1-to-3-years-231219500177
production material handling,apco vehicles,3-5 yrs,,pune,"automobile production, c, mechanical, capital budgeting, manual, saving, management, cost",https://www.naukri.com/job-listings-production-material-handling-apco-vehicles-india-pvt-ltd-apco-hyundai-pune-3-to-5-years-021224500625
production _ paint shop [shift in-charge],apco vehicles,3-7 yrs,,pune,"condition monitoring, process audit, process optimization, shop floor, team development, customer quality, shift incharge, dms",https://www.naukri.com/job-listings-production-paint-shop-shift-in-charge-apco-vehicles-india-pvt-ltd-apco-hyundai-pune-3-to-7-years-021224500604
director - data science & ml engineering,salesforce,15-20 yrs,,hyderabad,"business transformation, data science, neural networks, machine learning, aws, sql, crm, python",https://www.naukri.com/job-listings-director-data-science-ml-engineering-salesforce-hyderabad-15-to-20-years-270325502370
employer branding specialist,mobigic technologies,2-6 yrs,,pune,"social media, shaping, psychology, employee engagement, hr, management, recruitment, engagement",https://www.naukri.com/job-listings-employer-branding-specialist-mobigic-technologies-private-limited-pune-2-to-6-years-131124504431
web developer iii,mouser electronics,1-7 yrs,,pune,"jquery, xml, web development, javascript, cms, agile, wcf, microsoft",https://www.naukri.com/job-listings-web-developer-iii-mouser-electronics-pune-1-to-7-years-100225501576
designer,dp world,8-12 yrs,,"mumbai, nagpur, thane, nashik, pune, aurangabad","tekla, trade, automation, business transformation, data security, production engineering, information security, standard operating procedures",https://www.naukri.com/job-listings-designer-dp-world-mumbai-nagpur-thane-nashik-pune-aurangabad-8-to-12-years-160125500661
manager - employer branding and internal communication,navi technologies,5-7 yrs,,bengaluru,"employer branding, project management, internal communication, digital platforms, digital, branding, management, project",https://www.naukri.com/job-listings-manager-employer-branding-and-internal-communication-navi-technologies-limited-bengaluru-5-to-7-years-250325912425
press shop _ production shift in-charge,apco vehicles,3-7 yrs,,pune,"manpower management, performance management, safety training, shop floor, blanking, saving, line incharge, preventive maintenance",https://www.naukri.com/job-listings-press-shop-production-shift-in-charge-apco-vehicles-india-pvt-ltd-apco-hyundai-pune-3-to-7-years-021224500606
press shop _ die engineering,apco vehicles,3-7 yrs,,pune,"training, iso, tool design, inspection, dms, performance analysis, preventive maintenance, project execution",https://www.naukri.com/job-listings-press-shop-die-engineering-apco-vehicles-india-pvt-ltd-apco-hyundai-pune-3-to-7-years-021224500601
talent acquisition & employer branding,data dynamics software solutions,6-8 yrs,,pune,"career development, payroll, change management, performance management, talent acquisition, labour laws, employee engagement, succession planning",https://www.naukri.com/job-listings-talent-acquisition-employer-branding-data-dynamics-pune-6-to-8-years-110325503660
specialist software engineer,nice,8-12 yrs,,hybrid - pune,"c#, kubernetes, continuous integration, software development, soa, asynchronous apex, microsoft azure, google",https://www.naukri.com/job-listings-specialist-software-engineer-nice-interactive-pune-8-to-12-years-190325016192
core job freshers electrical / electronics / automobile/ mechanical,leading company,0-3 yrs,,"hyderabad, chennai, bengaluru","production engineering, electrical, mechanical, mechanical engineering, electrical engineering, btech, be, eee",https://www.naukri.com/job-listings-core-freshers-electrical-electronics-automobile-mechanical-creative-hands-hr-hyderabad-chennai-bengaluru-0-to-3-years-100325907756
core job freshers - electrical / electronics / automobile/ mechanical,leading client,0-5 yrs,,"hyderabad, chennai, bengaluru","customer service, automobile components, automobile engineering, industrial engineering, production engineering, mechanical engineering, communication skills, electronics",https://www.naukri.com/job-listings-core-freshers-electrical-electronics-automobile-mechanical-creative-hands-hr-consultancy-hyderabad-chennai-bengaluru-0-to-5-years-120325913439
electrical / electronics / automobile/ mechanical professional,leading client,0-5 yrs,,"hyderabad, chennai, bengaluru","automobile engineering, industrial engineering, production engineering, mechanical engineering, customer service, automobile, electronics, electricals",https://www.naukri.com/job-listings-electrical-electronics-automobile-mechanical-professional-creative-hands-hr-consultancy-hyderabad-chennai-bengaluru-0-to-5-years-120325914206
industrial operations engineer - b,capgemini,3-6 yrs,,bengaluru,"industrial operations, method study, time study, process layout, motion study, mechanical engineering, production, capacity calculation",https://www.naukri.com/job-listings-industrial-operations-engineer-b-capgemini-technology-services-india-limited-bengaluru-3-to-6-years-210325914685
hr associate,msg global solutions,0-2 yrs,,bengaluru,"talent acquisition, sourcing profiles, end to end recruitment, recruitment, end, sourcing, hrsd, end to end",https://www.naukri.com/job-listings-hr-associate-msg-global-solutions-bengaluru-0-to-2-years-190325006656
talent acquisition specialist,iqol technologies,0-1 yrs,2.5 lacs pa,bengaluru(hsr layout),"talent acquisition, recruitment operations, campus hiring, talent sourcing, sourcing, campus, recruitment, hiring",https://www.naukri.com/job-listings-talent-acquisition-specialist-iqol-technologies-bengaluru-0-to-1-years-150325005413
production mechanical,job junction india.com,0-2 yrs,,bengaluru,"production, mechanical, production management, production engineering, production mechanical, fabrication, automation, industrial",https://www.naukri.com/job-listings-production-mechanical-junction-india-com-bengaluru-0-to-2-years-200325015462
hr recruiter hiring day shift work location infantry road sal upto 3lp,the job factory,0 yrs,2-3 lacs pa,bengaluru,"sourcing profiles, screening, recruitment, recruiter, non it recruitment, hrsd, it recruitment, sal",https://www.naukri.com/job-listings-hr-recruiter-hiring-day-shift-work-location-infantry-road-sal-upto-3lp-the-factory-bengaluru-0-to-0-years-140325006273
technical recruiter,technoidentity,,unpaid,hyderabad,,https://www.naukri.com/job-listings-technical-recruiter-technoidentity-solutions-pvt-ltd-hyderabad-0-to-2-years-031224508517
engineer and operator,iwork solutions,0-2 yrs,,bengaluru,"production, operator, coordination, lab, operating, engineering, operations",https://www.naukri.com/job-listings-engineer-and-operator-iwork-solutions-bengaluru-0-to-2-years-180325013561
talent acquisition specialist,hcds consultants private limited,0-5 yrs,2.25-5 lacs pa,"bahadurpura, hyderabad, rajendranagar","recruitment, talent acquisition, hr policies, policies, hrsd, acquisition",https://www.naukri.com/job-listings-talent-acquisition-specialist-hcds-consultants-bahadurpura-hyderabad-rajendranagar-0-to-5-years-040325006252
production supervisor,saint gobain,3-7 yrs,,bengaluru,"injection moulding, moulds, plastic injection molding, plastic molding, production, toolings, plastic, production supervising",https://www.naukri.com/job-listings-production-supervisor-saint-gobain-bengaluru-3-to-7-years-210325005033
talent acquisition specialist,apps for bharat,3-8 yrs,,bengaluru,"automation, networking, talent acquisition, social media, workforce planning, management, stakeholder management, recruitment",https://www.naukri.com/job-listings-talent-acquisition-specialist-apps-for-bharat-bengaluru-3-to-8-years-240325504384
immediate hiring for dot net developer position,internal,8-13 yrs,,hybrid - hyderabad,"solid principles, oops, c#, java script, web api, web forms, jquery, vb",https://www.naukri.com/job-listings-immediate-hiring-for-dot-net-developer-position-shell-infotech-hyderabad-8-to-13-years-170325016452
immediate hiring for dot net developer,internal,8-13 yrs,,hybrid - hyderabad,".net core, web api, azure, solid principles, oops, c#, vb, web technologies",https://www.naukri.com/job-listings-immediate-hiring-for-dot-net-developer-shell-infotech-hyderabad-8-to-13-years-170325017357
mechanical design engineer,leonardo engineering,2-7 yrs,3-5.5 lacs pa,bangalore/bengaluru(yeshwanthpur),"autocad 3d, inventor, autocad 2d, mechanical engineering, 3d modeling, hydraulics, design engineering, refrigeration",https://www.naukri.com/job-listings-mechanical-design-engineer-leonardo-engineering-bangalore-bengaluru-2-to-7-years-110325014670
dot net fullstack developer with angular18,ness,6-11 yrs,13-23 lacs pa,remote,"angular18, c#, asp.net, entity framework, mvc, framework, .net, full stack",https://www.naukri.com/job-listings-dot-net-fullstack-developer-with-angular18-ness-bengaluru-6-to-11-years-090325002802
dot net developer,mind waveai solutions,5-7 yrs,,hyderabad,".net, sql server, azure devops, agile methodology, ci/cd, dot, microsoft azure, agile",https://www.naukri.com/job-listings-dot-net-developer-mind-waveai-solutions-hyderabad-5-to-7-years-190325018977
ms dynamics crm + dot net web api technical,kg invicta services (kgis),3-7 yrs,,hyderabad,"html design, web technologies, c, dynamics crm, devops, cloud, power bi, microsoft dynamics",https://www.naukri.com/job-listings-ms-dynamics-crm-dot-net-web-api-technical-kg-invicta-services-kgis-hyderabad-3-to-7-years-130325501237
engineer controls-india,kennametal,4-6 yrs,,bengaluru,"cutting tools, sales, aerospace, machine commissioning, manufacturing engineering, tool design, grinding machine, mts",https://www.naukri.com/job-listings-engineer-controls-india-kennametal-india-bengaluru-4-to-6-years-240325500648
"freshers - diploma ( mechanical / electrical), any graduate",talent bee consulting,0-1 yrs,1-2.5 lacs pa,bengaluru,"diploma, mechanical, fresher, electrical, any graduate, bsc physics, mechatronics, iti electrical",https://www.naukri.com/job-listings-freshers-diploma-mechanical-electrical-any-graduate-talent-bee-consulting-bengaluru-0-to-1-years-030125007974
production specialist - l1,wipro,2-6 yrs,,kolkata,"production, transaction processing, client support, transaction management, troubleshooting, processing, management, process",https://www.naukri.com/job-listings-production-specialist-l1-wipro-limited-kolkata-2-to-6-years-270325920352
production specialist - l1,wipro,2-6 yrs,,chennai,"production, production management, manpower handling, production planning, production supervising, project management, autoclave, quality control",https://www.naukri.com/job-listings-production-specialist-l1-wipro-limited-chennai-2-to-6-years-260325923992
production specialist - l2,wipro,4-8 yrs,,gurugram,"production, production management, manpower handling, production planning, production supervising, project management, autoclave, quality control",https://www.naukri.com/job-listings-production-specialist-l2-wipro-limited-gurugram-4-to-8-years-260325923504
production supervisor - dme,reputed packaging product manufacturing ind,0-2 yrs,1.5-2.5 lacs pa,"vapi, dadra & nagar haveli, daman & diu","production supervisor, production, line balancing, shift planning, shop floor control, production planning, production supervising, process",https://www.naukri.com/job-listings-production-supervisor-dme-creative-hr-service-vapi-dadra-nagar-haveli-daman-diu-0-to-2-years-280125021475
industrial operations engineer - b,capgemini,3-6 yrs,,gurugram,"method study, time study, motion study, industrial engineering, production engineering, process layout, mechanical engineering, production",https://www.naukri.com/job-listings-industrial-operations-engineer-b-capgemini-technology-services-india-limited-gurugram-3-to-6-years-260325923674
hr intern - recruiter,tech tales,,"15,000/month",chennai(tambaram),,https://www.naukri.com/job-listings-hr-intern-recruiter-tech-tales-accelerantz-chennai-0-to-1-years-270325013214
executive- engineering sales/business development,iberg technology solutions pvt ltd,0-3 yrs,"50,000-70,000 pa",chennai,"cnc programming, cnc milling, mechanical, cnc wire cut, engineering services, cnc machines, vmc machine, production engineering",https://www.naukri.com/job-listings-executive-engineering-sales-business-development-iberg-technology-solutions-pvt-ltd-chennai-0-to-3-years-270225003736
shift production supervisor,hitachi energy,2-5 yrs,,mysuru,"mining, production management, sap pp module, data analysis, production supervisor, usage, sensors, management",https://www.naukri.com/job-listings-shift-production-supervisor-hitachi-energy-mysuru-2-to-5-years-270325500400
talent acqusition- lateral hiring,randstad offshore,1-4 yrs,,gurugram(sector 32 gurgaon),"lateral hiring, non it recruitment, niche hiring, senior level hiring, talent acquisition, senior, recruitment, it recruitment",https://www.naukri.com/job-listings-talent-acqusition-lateral-hiring-randstad-gurugram-1-to-4-years-290325005405
software engineer,hitachi energy,8-13 yrs,,noida,"product management, manager quality assurance, linq, database design, data structures, windows, mvc, visual studio",https://www.naukri.com/job-listings-software-engineer-hitachi-energy-noida-8-to-13-years-270325500402
software engineer,hitachi energy,8-13 yrs,,noida,"product management, manager quality assurance, linq, database design, data structures, mvc, visual studio, stored procedures",https://www.naukri.com/job-listings-software-engineer-hitachi-energy-noida-8-to-13-years-270325500401
hr recruiter,cef manure marketing,0-4 yrs,3-4 lacs pa,"gurugram(sector 38 gurgaon), delhi / ncr(badarpur)","recruitment, screening, hr coordination, non it recruitment, end to end recruitment, talent sourcing, data reporting, talent acquisition",https://www.naukri.com/job-listings-hr-recruiter-cef-manure-marketing-gurugram-delhi-ncr-0-to-4-years-280325009079
senior and junior dot net developer,i-campusbuddy pvt ltd,2-7 yrs,,mumbai(andheri east),"fullstack development, frontend development, asp.net, mvc architecture, css, module development, vb.net, api integration",https://www.naukri.com/job-listings-senior-and-junior-dot-net-developer-i-campusbuddy-pvt-ltd-mumbai-2-to-7-years-310325004604
senior software developer dot net,hireginie talent cloud,4-8 yrs,10-18 lacs pa,hybrid - bengaluru,"full stack application development, .net, .net core, ci cd pipeline, cloud services, node.js, dot net automation, microservices",https://www.naukri.com/job-listings-senior-software-developer-dot-net-hireginie-talent-cloud-bengaluru-4-to-8-years-010425008908
sr. dot net developer,intellinez systems,8-13 yrs,,"mohali, bangalore rural, bengaluru","mvc, c#, asp.net, asp.net mvc, .net, sr, development, dot",https://www.naukri.com/job-listings-sr-dot-net-developer-intellinez-systems-mohali-bangalore-rural-bengaluru-8-to-13-years-020425025811
senior engineer - sheetmetal dfx,flex,4-9 yrs,,coimbatore,"fabrication, manufacturing process, sheet metal, production engineering, process improvement, manufacturing engineering, cre, product design",https://www.naukri.com/job-listings-senior-engineer-sheetmetal-dfx-flextronics-technologies-i-pvt-ltd-coimbatore-4-to-9-years-280325501004
shop engineer,hitachi energy,2-3 yrs,,savli,"mining, usage, quality testing, shop floor, standard operating procedures, sensors, power transformers, machinery",https://www.naukri.com/job-listings-shop-engineer-hitachi-energy-savli-2-to-3-years-260325506201
trade customs classification professional,applied materials,2-3 yrs,,bengaluru,"trade customs classification, gd & t, industrial production, data analysis, mechanical production, unigraphics, analysis, production",https://www.naukri.com/job-listings-trade-customs-classification-professional-applied-materials-india-private-limited-bengaluru-2-to-3-years-010425917295
devops engineer - mumbai location,crimson interactive,4-9 yrs,,"mumbai suburban, goregaon","aws cloud, scripting languages, ci/cd, devops, cloud technologies, bash scripting, azure cloud, gcp",https://www.naukri.com/job-listings-devops-engineer-mumbai-location-crimson-interactive-mumbai-suburban-goregaon-4-to-9-years-290325004618
quality executive - fresher,prop solutions4u,0-1 yrs,,tiruchirapalli,"product quality, ms office suite, quality standards, quality improvement, analytical, production engineering, inspection, manager quality control",https://www.naukri.com/job-listings-quality-executive-fresher-prop-solution-4u-pvt-ltd-tiruchirapalli-0-to-1-years-251124500189
production specialist,wipro,5-10 yrs,,chennai,"production, transaction processing, technical support, transaction management, product trainings, operational excellence, process, excellence",https://www.naukri.com/job-listings-production-specialist-wipro-limited-chennai-5-to-10-years-210325913058
diploma fresher - urgent requirement at bhiwadi & faridabad,sheet metal industry,0-1 yrs,1.5-1.75 lacs pa,"faridabad, bhiwadi",d.e.t,https://www.naukri.com/job-listings-diploma-fresher-urgent-requirement-at-bhiwadi-faridabad-glsd-recruitment-solutions-faridabad-bhiwadi-0-to-1-years-230325002450
fresher diploma/degree-mechanical engineer min 0-1,http://www.vhrservices.org,0-5 yrs,1.25-2.5 lacs pa,"bhopal, indore(pithampur road), mandideep","production engineering, production supervising, mechanical, mechanical engineering, daily production planning, shift planning, mechatronics, mechanical design",https://www.naukri.com/job-listings-fresher-diploma-degree-mechanical-engineer-min-0-1-vishwakarma-consultancy-bhopal-indore-mandideep-0-to-5-years-210225022387
mechanical engineer - fresher (for bhiwadi),human network,0-1 yrs,1.5-1.75 lacs pa,"dharuhera, bhiwadi","production, mechanical engineering, mechanical",https://www.naukri.com/job-listings-mechanical-engineer-fresher-for-bhiwadi-human-network-dharuhera-bhiwadi-0-to-1-years-200325004792
interns,phanindra associates,,unpaid,hyderabad,,https://www.naukri.com/job-listings-interns-phanindra-associates-hyderabad-0-to-2-years-201124513782
industrial operations engineer - c,capgemini,3-6 yrs,,chennai,"industrial operations, method study, time study, process layout, motion study, production, capacity calculation, work measurement",https://www.naukri.com/job-listings-industrial-operations-engineer-c-capgemini-technology-services-india-limited-chennai-3-to-6-years-250325920671
talent acquisition intern,regami solutions,,"5,000/month",chennai,,https://www.naukri.com/job-listings-talent-acquisition-intern-regami-solutions-chennai-0-to-1-years-240325027370
talent acquisition executive/recruiter (non-it),sportz village academies,0-3 yrs,,"kochi, bengaluru","cvs, hris, social media, talent acquisition executive, hr, database maintenance, management, internship",https://www.naukri.com/job-listings-talent-acquisition-executive-recruiter-non-it-sportz-village-kochi-bengaluru-0-to-3-years-241024503895
junior engineer - printing,uflex,2-7 yrs,,sanand,"printing, compliance, packaging",https://www.naukri.com/job-listings-junior-engineer-printing-uflex-ltd-sanand-2-to-7-years-210325506512
walk in drive on 12th apr '25 - software engineer,"digisme software pvt ltd (wholly owned subsidiary of info-tech systems integrators, singapore)",,,,".net core, web api, asp.net web api, sql server, angular, c#, asp.net core mvc, asp.net mvc",https://www.naukri.com/job-listings-walk-in-drive-on-12th-apr-25-software-engineer-digisme-software-pvt-ltd-wholly-owned-subsidiary-of-info-tech-systems-integrators-singapore-madurai-2-to-7-years-210325016132
applications engineer,kennametal,8-9 yrs,,vadodara,"cold calling, process design, application support, process optimization, penetration, aerospace, shop floor, production engineering",https://www.naukri.com/job-listings-applications-engineer-kennametal-india-vadodara-8-to-9-years-250325501265
assistant manager - simulation engineering,flex,14-16 yrs,,chennai,"c++, simulation, data management, lean manufacturing, production engineering, flex, industrial engineering, operations",https://www.naukri.com/job-listings-assistant-manager-simulation-engineering-flextronics-technologies-i-pvt-ltd-chennai-14-to-16-years-260325503917
in_senior associate_dot net core_data & analytics_advisory_pan india,pwc service delivery center,5-8 yrs,,bengaluru,"data analysis, process improvement, analytical, trend analysis, data collection, javascript, data quality, business intelligence",https://www.naukri.com/job-listings-in-senior-associate-dot-net-core-data-analytics-advisory-pan-india-pricewaterhouse-coopers-private-limited-bengaluru-5-to-8-years-240225501634
dot net core developers,disha consultant,3-6 yrs,,"jaipur, bengaluru","product quality, project development, technical analysis, automation testing, jquery, front end, architecture, javascript",https://www.naukri.com/job-listings-dot-net-core-developers-disha-consultant-jaipur-bengaluru-3-to-6-years-251021500536
talent acquisition specialist,hempel a/s,2-5 yrs,,mumbai,"technical operations, operational excellence, chemical, talent acquisition, workforce planning, data analytics, hr, continuous improvement",https://www.naukri.com/job-listings-talent-acquisition-specialist-hempel-a-s-mumbai-2-to-5-years-250325502115
mechanical body in white design engineer,akkodis,1-5 yrs,,"chennai, bengaluru","biw, production engineering, mechanical, siemens, senior lead, automotive, design engineering, production",https://www.naukri.com/job-listings-mechanical-body-in-white-design-engineer-akkodis-chennai-bengaluru-1-to-5-years-211223501088
senior engineer - simulation engineering,flex,4-7 yrs,,chennai,"c++, simulation, data management, lean manufacturing, production engineering, flex, industrial engineering, operations",https://www.naukri.com/job-listings-senior-engineer-simulation-engineering-flextronics-technologies-i-pvt-ltd-chennai-4-to-7-years-260325504522
shop engineer,hitachi energy,2-3 yrs,,savli,"mining, usage, compliance, quality testing, shop floor, standard operating procedures, sensors, power transformers",https://www.naukri.com/job-listings-shop-engineer-hitachi-energy-savli-2-to-3-years-260325506199
dot net angular technical lead,cgi,10-12 yrs,,bengaluru,"ms sql, multithreading, xml, web development, javascript, agile, data structures, xslt",https://www.naukri.com/job-listings-dot-net-angular-technical-lead-cgi-information-systems-and-management-consultants-bengaluru-10-to-12-years-210225500154
freshers,coralindia,0-5 yrs,,erode,"production and maintenance, automobile, purchase, ncvt, production planning, maintenance, mechanical maintenance, electricals",https://www.naukri.com/job-listings-freshers-coralindia-erode-0-to-5-years-171224003520
fresher electrical/ electronics engineer,electronics industry/ railway project/ substation project,0-1 yrs,1.25-3 lacs pa,kolkata,"electrical engineering, power transformers, substation, switchyard, electronics engineering, transformers, circuit breakers, relays",https://www.naukri.com/job-listings-fresher-electrical-electronics-engineer-benchmark-global-management-services-kolkata-0-to-1-years-120325017360
power plant jobs for mechanical freshers - hyderabad,right step consulting,0-2 yrs,,hyderabad,"engineer trainee, payroll, education, transportation, mechanical, direct, production manager, cnc operator",https://www.naukri.com/job-listings-power-plant-jobs-for-mechanical-freshers-hyderabad-right-step-consulting-private-limited-hyderabad-0-to-2-years-110417501353
intern hr (unpaid) position: tyreplex,tyreplex,,unpaid,gurugram,,https://www.naukri.com/job-listings-intern-hr-unpaid-position-tyreplex-tyreplex-gurugram-0-to-1-years-130125502362
